num_cds;cds_locustag;id_type;cds_product;id_genome;genome_name;id_annotation;fragmen_start;fragment_end;num_fragment;1;9;16;2;5;17;3;8;18;4;11;13;7;12;14;6;10;15
0;O208_01332;1;transcription regulator;0;LLHV30-3_1_Scaffold18-Contig1;0;449;1124;0;3.343356366;4.297811351;4.495255944;6.045626988;4.721540673;4.182664082;1.753990342;3.912400142;2.327282115;7.237659252;7.021178578;4.87647223;0;6;3.642615898;1.587363911;4.750189559;1.704775756
1;O208_01333;1;transcription regulator;0;LLHV30-3_1_Scaffold18-Contig1;0;1357;1966;0;18.05412438;21.48905676;26.97153566;21.91539783;24.5520115;26.49020585;4.677307578;7.824800285;25.60010327;18.42313264;28.08471431;17.67721183;38.455816;39;40.06877488;59.52614665;52.25208515;67.33864237
2;O208_01334;1;DNA-directed RNA polymerase beta subunit ;0;LLHV30-3_1_Scaffold18-Contig1;0;2231;5822;0;10835.14931;7063.759942;8240.927959;8808.478521;5345.72835;7210.215767;3182.323143;3156.524435;6199.103794;8141.05072;7322.387139;7005.052358;5972.668923;7086;7854.936923;8742.406739;10461.27461;8525.583557
3;O208_01335;1;hypothetical protein;0;LLHV30-3_1_Scaffold18-Contig1;0;5832;5976;0;151.1197077;90.86801143;111.8194916;121.6682431;60.43572062;91.32149913;39.75711441;28.16928103;71.36998487;109.2228578;97.59438224;93.2625314;52.07558417;64;55.36776165;76.98714967;93.64659417;60.51953935
4;O208_01336;1;DNA-directed RNA polymerase beta-prime subunit;0;LLHV30-3_1_Scaffold18-Contig1;0;5930;9554;0;14859.21303;9010.668485;10603.18496;10880.61717;5391.055141;9544.839436;3187.585114;2549.319933;6207.637162;9328.026838;9503.165206;8867.255191;4376.752559;5283;4535.785316;5892.294837;6791.413873;5081.93653
5;O208_01337;1;Diacylglycerol kinase-related protein;0;LLHV30-3_1_Scaffold18-Contig1;0;9676;10585;0;565.0272259;629.3223764;564.716528;340.0665181;485.3743812;628.7938337;105.824084;241.0038488;382.4500276;632.308231;518.1629791;640.6465392;257.1732695;456;416.7152588;303.186507;316.226905;258.2735271
6;O208_01338;1;glutamate ABC transporter permease protein;0;LLHV30-3_1_Scaffold18-Contig1;0;10731;11418;0;651.9544914;57.09949367;77.54316503;222.1767918;615.6889038;246.0800702;92.96148811;339.5963324;668.7057278;2121.29213;523.0778041;329.1618755;332.4825758;779;884.4271401;347.6326965;698.2778652;520.8089936
7;O208_01339;1;Amino acid ABC transporter. ATP-binding protein;0;LLHV30-3_1_Scaffold18-Contig1;0;11417;12152;0;739.5504282;31.31262556;49.44781538;139.0494207;568.4734971;133.8452506;50.86571991;212.0520877;410.377413;1902.846414;401.6114147;253.576556;247.5593155;566;681.169173;169.0542565;485.8765321;291.5166543
8;O208_01340;1;Negative regulator of genetic competence MecA;0;LLHV30-3_1_Scaffold18-Contig1;0;12281;12983;0;910.7302741;1146.287685;1260.357385;887.1957605;1160.554698;1101.434875;342.0281166;713.621786;1222.598871;952.0811762;1258.195201;1208.755554;807.572136;1046;1256.702485;1020.674995;1173.296821;1037.356048
9;O208_01341;1;Undecaprenyl-phosphate N-acetylglucosaminyl 1- phosphate transferase;0;LLHV30-3_1_Scaffold18-Contig1;0;12985;14317;0;2528.246084;2994.960539;2911.240131;2198.341113;2490.140551;2798.899382;719.7207036;1417.071332;2248.930284;2254.859842;2499.539574;2945.389227;1772.97335;2258;2541.088851;2004.840619;2281.448186;1920.42989
10;O208_01342;1;Iron-sulfur cluster assembly ATPase protein SufC;0;LLHV30-3_1_Scaffold18-Contig1;0;14491;15262;0;974.2540451;840.5291057;844.5462105;719.4296115;702.5652522;1039.392024;315.7182615;571.2104208;688.8755061;1018.536047;707.0326828;904.5855987;1094.38843;1302;1589.637578;1566.72818;1593.349298;1308.415393
11;O208_01343;1;Iron-sulfur cluster assembly protein SufD;0;LLHV30-3_1_Scaffold18-Contig1;0;15399;16656;0;2218.651285;2065.405341;1937.455312;1698.06548;1595.880748;2471.257362;719.7207036;1065.737799;1567.036624;2458.830239;1652.785437;2224.280896;2532.475716;3099;3400.746203;3342.988396;3333.275874;2667.121671
12;O208_01344;1;Cysteine desulfurase . SufS subfamily;0;LLHV30-3_1_Scaffold18-Contig1;0;16655;17873;0;1969.2369;1802.010902;1799.788099;1546.169102;1388.132958;2446.858488;653.653734;823.95147;1286.98701;2337.105969;1303.130744;2151.743371;2027.743131;2347;2550.559652;2823.126715;2586.138916;1963.901671
13;O208_01345;1;hypothetical protein;0;LLHV30-3_1_Scaffold18-Contig1;0;17865;18357;0;401.2027639;349.9646386;362.4300105;295.480019;300.2899868;531.1983384;153.1818232;167.4507261;231.9524508;484.9231699;268.9111395;493.1332543;381.3535087;487;461.8836959;584.9436011;517.0920635;389.5412603
14;O208_01346;1;Putative iron-sulfur cluster assembly scaffold protein for SUF system. SufE2;0;LLHV30-3_1_Scaffold18-Contig1;0;18472;18931;0;568.3705822;502.8439281;494.4781538;413.3697453;303.1229112;650.4042648;163.7057652;191.707607;321.9406926;535.5867846;343.3356325;602.8538794;443.0430468;680;534.0074907;660.3433869;664.3479398;435.5702057
15;O208_01347;1;hypothetical protein;0;LLHV30-3_1_Scaffold18-Contig1;0;18995;19118;0;121.6981717;133.2321519;107.8861427;98.99714192;63.26864502;151.2730176;39.17245097;48.51376177;72.14574557;161.8603796;82.14778936;142.0272537;120.9755878;151;150.075775;169.8479385;126.8979211;107.4008726
16;O208_01348;1;Iron-sulfur cluster assembly protein SufB;0;LLHV30-3_1_Scaffold18-Contig1;0;19097;20510;0;1950.514104;1766.400465;1641.892234;1488.735646;1153.000232;2360.416764;588.1714279;638.5037032;930.9128461;2289.7322;1211.855423;2143.209545;1696.862881;1997;1854.091492;2333.424949;1993.722418;1406.439999
17;O208_01349;1;Enoyl-[acyl-carrier-protein] reductase [FMN] ;0;LLHV30-3_1_Scaffold18-Contig1;0;20650;21496;0;10.69874037;11.0515149;5.057162937;30.98383831;12.27600575;4.879774763;25.72519168;14.08464051;19.39401763;6.579690229;18.2550643;13.41029863;15.22209383;18;24.76978811;38.89041581;40.037312;40.06223027
18;O208_01350;1;Acetoacetyl-CoA reductase ;0;LLHV30-3_1_Scaffold18-Contig1;0;21518;21977;0;14.04209674;10.43754185;7.304790909;35.51805855;17.94185456;9.759549525;23.38653789;23.47440085;22.49706045;13.81734948;20.36141788;12.19118057;25.63721067;28;35.6976358;59.52614665;42.07310753;46.02894542
19;O208_01351;1;Acetoacetyl-CoA reductase ;0;LLHV30-3_1_Scaffold18-Contig1;0;22081;22264;0;6.686712732;3.683838301;1.123813986;6.801330361;1.888616269;2.091332041;7.600624814;4.694880171;3.878803525;4.60578316;8.425414294;7.314708345;5.608139833;7;8.013754976;19.04836693;16.96496271;15.34298181
20;O208_01352;1;hypothetical protein;0;LLHV30-3_1_Scaffold18-Contig1;0;22260;22554;0;8.692726552;5.525757452;7.866697902;28.71672819;8.498773212;6.971106804;22.217211;14.08464051;25.60010327;6.579690229;12.63812144;15.23897572;16.8244195;27;38.61172852;65.08192034;42.75170604;48.58610906
21;O208_01353;1;3-ketoacyl-CoA thiolase  @ Acetyl-CoA acetyltransferase ;0;LLHV30-3_1_Scaffold18-Contig1;0;22875;24024;0;22.73482329;9.823568803;10.11432587;49.12071928;23.60770337;16.73065633;43.84975854;20.34448074;20.94553904;11.18547339;25.27624288;12.8007396;36.85349033;66;74.30936432;158.7363911;118.0761405;99.72938175
22;O208_01354;1;Long-chain-fatty-acid--CoA ligase ;0;LLHV30-3_1_Scaffold18-Contig1;0;24013;24571;0;7.355384005;8.595622703;10.67623287;18.13688096;7.554465077;3.485553402;15.20124963;5.477360199;3.878803525;5.263752183;4.914825005;10.97206252;9.613954;15;21.12717221;32.54096017;35.28712244;28.98118786
23;O208_01355;1;Long-chain-fatty-acid--CoA ligase ;0;LLHV30-3_1_Scaffold18-Contig1;0;24628;25255;0;3.343356366;1.841919151;1.123813986;0.755703373;0;4.182664082;0;0.782480028;0;1.315938046;1.404235716;1.828677086;0;2;2.914092719;2.381045866;1.357197017;5.966715147
24;O208_01356;1;Substrate-specific component BioY of biotin ECF transporter;0;LLHV30-3_1_Scaffold18-Contig1;0;25399;25969;0;118.3548154;143.6696937;144.4100972;132.2480904;156.7551504;152.667239;46.77307578;89.20272325;138.0854055;104.6170746;164.2955787;158.4853475;92.13372584;108;121.663371;100.0039264;128.2551181;119.3343029
25;O208_01357;1;Biotin operon repressor / Biotin-protein ligase ;0;LLHV30-3_1_Scaffold18-Contig1;0;25974;26946;0;192.5773267;228.3979747;239.372379;160.2091152;173.7526968;203.5563187;57.29701783;104.8523238;174.5461586;187.5211715;207.1247681;207.8596288;118.5720993;154;152.2613445;126.1954309;159.4706495;132.1201211
